,,,,,Trends in Ozone (O3) - Mean : Chart Over Time
X axis title: Year
Y axis title: Mean (ppb)
Indicator Name: Ozone (O3)
Indicator Description: Ozone is a common air pollutant that can harm breathing and worsen asthma and other respiratory conditions.
Indicator Measure: Mean
Indicator How Calculated: <p>Air samples collected at specific NYCCAS monitoring sites along with information about emissions sources were incorporated into a statistical model that predicted pollutant concentrations at all locations in NYC for the specified time period. The results were then assigned to the appropriate NYC neighborhood and averaged. In NYC ozone is measured in units of parts per billion (ppb).</p>
Indicator Source(s): New York City Community Air Survey

Compare Type,Line Label,X Value,Y Value,Geography Name,Geography ID,note,
Citywide,New York City,Summer 2009,26,New York City,1,,
Citywide,New York City,Summer 2010,33.68,New York City,1,,
Citywide,New York City,Summer 2011,33.1,New York City,1,,
Citywide,New York City,Summer 2012,33.83,New York City,1,,
Citywide,New York City,Summer 2013,30.99,New York City,1,,
Citywide,New York City,Summer 2014,31.37,New York City,1,,
Citywide,New York City,Summer 2017,29.54,New York City,1,,
Citywide,New York City,Summer 2016,33.82,New York City,1,,
Citywide,New York City,Summer 2015,31.8377,New York City,1,,
Citywide,New York City,Summer 2019,30.55,New York City,1,,
Citywide,New York City,Summer 2018,30.56,New York City,1,,
Boroughs,Bronx,Summer 2018,30.78,Bronx,1,,
Boroughs,Brooklyn,Summer 2018,30.87,Brooklyn,2,,
Boroughs,Manhattan,Summer 2018,26.98,Manhattan,3,,
Boroughs,Queens,Summer 2018,31.46,Queens,4,,
Boroughs,Staten Island,Summer 2018,29.81,Staten Island,5,,
Boroughs,Bronx,Summer 2019,29.87,Bronx,1,,
Boroughs,Brooklyn,Summer 2019,31.07,Brooklyn,2,,
Boroughs,Manhattan,Summer 2019,25.85,Manhattan,3,,
Boroughs,Queens,Summer 2019,32.18,Queens,4,,
Boroughs,Staten Island,Summer 2019,29.29,Staten Island,5,,
Boroughs,Bronx,Summer 2015,30.39,Bronx,1,,
Boroughs,Brooklyn,Summer 2015,32.48,Brooklyn,2,,
Boroughs,Manhattan,Summer 2015,27.77,Manhattan,3,,
Boroughs,Queens,Summer 2015,32.36,Queens,4,,
Boroughs,Staten Island,Summer 2015,32.59,Staten Island,5,,
Boroughs,Bronx,Summer 2016,33.09,Bronx,1,,
Boroughs,Brooklyn,Summer 2016,33.98,Brooklyn,2,,
Boroughs,Manhattan,Summer 2016,30.3,Manhattan,3,,
Boroughs,Queens,Summer 2016,33.98,Queens,4,,
Boroughs,Staten Island,Summer 2016,35.11,Staten Island,5,,
Boroughs,Staten Island,Summer 2013,31.3,Staten Island,5,,
Boroughs,Bronx,Summer 2014,31.15,Bronx,1,,
Boroughs,Brooklyn,Summer 2014,31.29,Brooklyn,2,,
Boroughs,Manhattan,Summer 2014,27,Manhattan,3,,
Boroughs,Queens,Summer 2014,32.43,Queens,4,,
Boroughs,Staten Island,Summer 2014,31.41,Staten Island,5,,
Boroughs,Queens,Summer 2012,34.5,Queens,4,,
Boroughs,Staten Island,Summer 2012,33.77,Staten Island,5,,
Boroughs,Bronx,Summer 2013,31.25,Bronx,1,,
Boroughs,Brooklyn,Summer 2013,31.13,Brooklyn,2,,
Boroughs,Manhattan,Summer 2013,26.33,Manhattan,3,,
Boroughs,Queens,Summer 2013,31.6,Queens,4,,
Boroughs,Manhattan,Summer 2011,27.27,Manhattan,3,,
Boroughs,Queens,Summer 2011,33.72,Queens,4,,
Boroughs,Staten Island,Summer 2011,34.16,Staten Island,5,,
Boroughs,Bronx,Summer 2012,34.61,Bronx,1,,
Boroughs,Brooklyn,Summer 2012,33.89,Brooklyn,2,,
Boroughs,Manhattan,Summer 2012,29.21,Manhattan,3,,
Boroughs,Brooklyn,Summer 2010,33.83,Brooklyn,2,,
Boroughs,Manhattan,Summer 2010,28.21,Manhattan,3,,
Boroughs,Queens,Summer 2010,34.07,Queens,4,,
Boroughs,Staten Island,Summer 2010,35.17,Staten Island,5,,
Boroughs,Bronx,Summer 2011,32.91,Bronx,1,,
Boroughs,Brooklyn,Summer 2011,33.19,Brooklyn,2,,
Boroughs,Bronx,Summer 2009,25.3,Bronx,1,,
Boroughs,Brooklyn,Summer 2009,26.27,Brooklyn,2,,
Boroughs,Manhattan,Summer 2009,20.44,Manhattan,3,,
Boroughs,Queens,Summer 2009,26.85,Queens,4,,
Boroughs,Staten Island,Summer 2009,26.72,Staten Island,5,,
Boroughs,Bronx,Summer 2010,33.16,Bronx,1,,
Boroughs,Bronx,Summer 2017,28.85,Bronx,1,,
Boroughs,Brooklyn,Summer 2017,30.26,Brooklyn,2,,
Boroughs,Manhattan,Summer 2017,25.33,Manhattan,3,,
Boroughs,Queens,Summer 2017,30.83,Queens,4,,
Boroughs,Staten Island,Summer 2017,28.46,Staten Island,5,,

NYC Department of Health and Mental Hygiene
Environment & Health Data Portal
More information can be found at: http://nyc.gov/health/tracking
Accessed 12/09/2021
