,,,,,Trends in Sulfur Dioxide (SO2) - Mean : Chart Over Time
X axis title: Year
Y axis title: Mean (ppb)
Indicator Name: Sulfur Dioxide (SO2)
Indicator Description: Sulfur dioxide comes from burning certain types of fuel oil. As an air pollutant it can can worsen lung diseases.
Indicator Measure: Mean
Indicator How Calculated: <p>Data collected at specific NYCCAS monitoring sites along with information about emissions sources were incorporated into a statistical model that predicted pollutant concentrations at all locations in NYC for the specified time period. The results were then smoothed using GIS assigned to the appropriate NYC neighborhood and averaged. The gaseous pollutants in NYC are measured in units of parts per billion.</p>
Indicator Source(s): New York City Community Air Survey

Compare Type,Line Label,X Value,Y Value,Geography Name,Geography ID,note,
Citywide,New York City,Winter 2008-09,4.32,New York City,1,,
Citywide,New York City,Winter 2012-13,1.17,New York City,1,,
Citywide,New York City,Winter 2011-12,1.95,New York City,1,,
Citywide,New York City,Winter 2012-13,1.17,New York City,1,,
Citywide,New York City,Winter 2011-12,1.95,New York City,1,,
Citywide,New York City,Winter 2013-14,1.43,New York City,1,,
Citywide,New York City,Winter 2009-10,2.88,New York City,1,,
Citywide,New York City,Winter 2010-11,3.63,New York City,1,,
Citywide,New York City,Winter 2013-14,1.43,New York City,1,,
Citywide,New York City,Winter 2014-15,0.5978,New York City,1,,
Citywide,New York City,Winter 2008-09,4.32,New York City,1,,
Citywide,New York City,Winter 2015-16,0.23,New York City,1,,
Citywide,New York City,Winter 2009-10,2.88,New York City,1,,
Citywide,New York City,Winter 2010-11,3.63,New York City,1,,
Boroughs,Bronx,Winter 2013-14,2.08,Bronx,1,,
Boroughs,Brooklyn,Winter 2013-14,1.08,Brooklyn,2,,
Boroughs,Staten Island,Winter 2008-09,2.13,Staten Island,5,,
Boroughs,Bronx,Winter 2015-16,0.33,Bronx,1,,
Boroughs,Brooklyn,Winter 2015-16,0.19,Brooklyn,2,,
Boroughs,Manhattan,Winter 2015-16,0.38,Manhattan,3,,
Boroughs,Queens,Winter 2015-16,0.25,Queens,4,,
Boroughs,Queens,Winter 2012-13,1.01,Queens,4,,
Boroughs,Staten Island,Winter 2012-13,0.43,Staten Island,5,,
Boroughs,Bronx,Winter 2008-09,6.62,Bronx,1,,
Boroughs,Brooklyn,Winter 2008-09,3.92,Brooklyn,2,,
Boroughs,Manhattan,Winter 2008-09,9.17,Manhattan,3,,
Boroughs,Queens,Winter 2008-09,3.99,Queens,4,,
Boroughs,Manhattan,Winter 2011-12,4.81,Manhattan,3,,
Boroughs,Queens,Winter 2011-12,1.72,Queens,4,,
Boroughs,Staten Island,Winter 2011-12,0.81,Staten Island,5,,
Boroughs,Bronx,Winter 2012-13,2.16,Bronx,1,,
Boroughs,Brooklyn,Winter 2012-13,0.9,Brooklyn,2,,
Boroughs,Manhattan,Winter 2012-13,3.08,Manhattan,3,,
Boroughs,Brooklyn,Winter 2010-11,3.26,Brooklyn,2,,
Boroughs,Manhattan,Winter 2010-11,7.79,Manhattan,3,,
Boroughs,Queens,Winter 2010-11,3.42,Queens,4,,
Boroughs,Staten Island,Winter 2010-11,1.78,Staten Island,5,,
Boroughs,Bronx,Winter 2011-12,3.43,Bronx,1,,
Boroughs,Brooklyn,Winter 2011-12,1.55,Brooklyn,2,,
Boroughs,Bronx,Winter 2014-15,1.11,Bronx,1,,
Boroughs,Staten Island,Winter 2015-16,0.12,Staten Island,5,,
Boroughs,Bronx,Winter 2009-10,4.28,Bronx,1,,
Boroughs,Brooklyn,Winter 2009-10,2.66,Brooklyn,2,,
Boroughs,Manhattan,Winter 2009-10,6.19,Manhattan,3,,
Boroughs,Queens,Winter 2009-10,2.82,Queens,4,,
Boroughs,Staten Island,Winter 2009-10,1.17,Staten Island,5,,
Boroughs,Bronx,Winter 2010-11,5.44,Bronx,1,,
Boroughs,Staten Island,Winter 2013-14,0.83,Staten Island,5,,
Boroughs,Bronx,Winter 2013-14,2.08,Bronx,1,,
Boroughs,Brooklyn,Winter 2013-14,1.08,Brooklyn,2,,
Boroughs,Manhattan,Winter 2013-14,2.9,Manhattan,3,,
Boroughs,Queens,Winter 2013-14,1.46,Queens,4,,
Boroughs,Staten Island,Winter 2012-13,0.43,Staten Island,5,,
Boroughs,Queens,Winter 2011-12,1.72,Queens,4,,
Boroughs,Staten Island,Winter 2011-12,0.81,Staten Island,5,,
Boroughs,Bronx,Winter 2012-13,2.16,Bronx,1,,
Boroughs,Brooklyn,Winter 2012-13,0.9,Brooklyn,2,,
Boroughs,Manhattan,Winter 2012-13,3.08,Manhattan,3,,
Boroughs,Queens,Winter 2012-13,1.01,Queens,4,,
Boroughs,Manhattan,Winter 2010-11,7.79,Manhattan,3,,
Boroughs,Queens,Winter 2010-11,3.42,Queens,4,,
Boroughs,Staten Island,Winter 2010-11,1.78,Staten Island,5,,
Boroughs,Bronx,Winter 2011-12,3.43,Bronx,1,,
Boroughs,Brooklyn,Winter 2011-12,1.55,Brooklyn,2,,
Boroughs,Manhattan,Winter 2011-12,4.81,Manhattan,3,,
Boroughs,Brooklyn,Winter 2014-15,0.47,Brooklyn,2,,
Boroughs,Manhattan,Winter 2014-15,1.19,Manhattan,3,,
Boroughs,Queens,Winter 2014-15,0.56,Queens,4,,
Boroughs,Staten Island,Winter 2014-15,0.27,Staten Island,5,,
Boroughs,Bronx,Winter 2010-11,5.44,Bronx,1,,
